year_month,residence,sex,age_band,cvd_cases
1/1/2019,ADONIS,UNKNOWN,Unknown,1
1/1/2019,AJALTOUN,UNKNOWN,Unknown,0
1/1/2019,AKKAR,UNKNOWN,Unknown,1
1/1/2019,AMCHIT,UNKNOWN,Unknown,1
1/1/2019,BOUAR,UNKNOWN,Unknown,1
1/1/2019,BOURJ HAMMOUD,UNKNOWN,Unknown,0
1/1/2019,CHOBTINE,UNKNOWN,Unknown,1
1/1/2019,DEIR AHMAR,UNKNOWN,Unknown,1
1/1/2019,DRYA,UNKNOWN,Unknown,1
1/1/2019,EBRINE,UNKNOWN,Unknown,0
1/1/2019,HALBA,UNKNOWN,Unknown,1
1/1/2019,JBEIL,UNKNOWN,Unknown,1
1/1/2019,MASTITA,UNKNOWN,Unknown,1
1/1/2019,MECHAN,UNKNOWN,Unknown,1
1/1/2019,MECHMECH,UNKNOWN,Unknown,0
1/1/2019,NAN,UNKNOWN,Unknown,0
1/1/2019,SAFRA,UNKNOWN,Unknown,1
1/1/2019,TABARJA,UNKNOWN,Unknown,1
1/1/2019,TANNOURINE,UNKNOWN,Unknown,0
1/1/2019,TRIPOLI,UNKNOWN,Unknown,0
1/1/2019,ZGHORTA,UNKNOWN,Unknown,1
2/1/2019,AKKAR,UNKNOWN,Unknown,2
2/1/2019,ANFEH,UNKNOWN,Unknown,1
2/1/2019,BAABDA,UNKNOWN,Unknown,0
2/1/2019,BATROUN,UNKNOWN,Unknown,1
2/1/2019,BWAR,UNKNOWN,Unknown,1
2/1/2019,CHAMAT,UNKNOWN,Unknown,1
2/1/2019,FARAYA,UNKNOWN,Unknown,1
2/1/2019,GHADIR,UNKNOWN,Unknown,1
2/1/2019,GHAZIR,UNKNOWN,Unknown,1
2/1/2019,JAL ELDIB,UNKNOWN,Unknown,1
2/1/2019,JOUNIEH,UNKNOWN,Unknown,0
2/1/2019,MAYFOUK,UNKNOWN,Unknown,1
2/1/2019,MTAYLEB,UNKNOWN,Unknown,0
2/1/2019,NAN,UNKNOWN,Unknown,0
2/1/2019,SAFRA,UNKNOWN,Unknown,1
2/1/2019,TABARJA,UNKNOWN,Unknown,1
3/1/2019,AKKAR,UNKNOWN,Unknown,1
3/1/2019,AYNATA ARZ,UNKNOWN,Unknown,0
3/1/2019,BOUAR,UNKNOWN,Unknown,0
3/1/2019,DEIR ELAHMAR,UNKNOWN,Unknown,1
3/1/2019,EHDEN,UNKNOWN,Unknown,1
3/1/2019,HALAT,UNKNOWN,Unknown,1
3/1/2019,JBEIL,UNKNOWN,Unknown,1
3/1/2019,JESR EL BACHA,UNKNOWN,Unknown,0
3/1/2019,JOUNIEH,UNKNOWN,Unknown,1
3/1/2019,KFARMASHOUN,UNKNOWN,Unknown,1
3/1/2019,OKAYBE,UNKNOWN,Unknown,0
3/1/2019,ZGHORTA,UNKNOWN,Unknown,0
4/1/2019,CHEKKA,UNKNOWN,Unknown,0
4/1/2019,DAHER ELSAWAN,UNKNOWN,Unknown,0
